location_id,iso3,location_name,gbd_region_id,gbd_region_name,gbd_superregion_id,gbd_superregion_name,type,gbd_analytical_region_id,gbd_analytical_region_name,gbd_analytical_superregion_id,gbd_analytical_superregion_name,deprecated_iso3
4661,"MEX_4661","Nuevo León",124,"Central Latin America",103,"Latin America and Caribbean","admin1",124,"Central Latin America",103,"Latin America and Caribbean","XMT"
4662,"MEX_4662","Oaxaca",124,"Central Latin America",103,"Latin America and Caribbean","admin1",124,"Central Latin America",103,"Latin America and Caribbean","XMU"
4663,"MEX_4663","Puebla",124,"Central Latin America",103,"Latin America and Caribbean","admin1",124,"Central Latin America",103,"Latin America and Caribbean","XMV"
4664,"MEX_4664","Querétaro",124,"Central Latin America",103,"Latin America and Caribbean","admin1",124,"Central Latin America",103,"Latin America and Caribbean","XMW"
4665,"MEX_4665","Quintana Roo",124,"Central Latin America",103,"Latin America and Caribbean","admin1",124,"Central Latin America",103,"Latin America and Caribbean","XMX"
4666,"MEX_4666","San Luis Potosí",124,"Central Latin America",103,"Latin America and Caribbean","admin1",124,"Central Latin America",103,"Latin America and Caribbean","XMY"
4667,"MEX_4667","Sinaloa",124,"Central Latin America",103,"Latin America and Caribbean","admin1",124,"Central Latin America",103,"Latin America and Caribbean","XMZ"
4668,"MEX_4668","Sonora",124,"Central Latin America",103,"Latin America and Caribbean","admin1",124,"Central Latin America",103,"Latin America and Caribbean","XAM"
4669,"MEX_4669","Tabasco",124,"Central Latin America",103,"Latin America and Caribbean","admin1",124,"Central Latin America",103,"Latin America and Caribbean","XBM"
4670,"MEX_4670","Tamaulipas",124,"Central Latin America",103,"Latin America and Caribbean","admin1",124,"Central Latin America",103,"Latin America and Caribbean","XIM"
4671,"MEX_4671","Tlaxcala",124,"Central Latin America",103,"Latin America and Caribbean","admin1",124,"Central Latin America",103,"Latin America and Caribbean","XEM"
4672,"MEX_4672","Veracruz de Ignacio de la Llave",124,"Central Latin America",103,"Latin America and Caribbean","admin1",124,"Central Latin America",103,"Latin America and Caribbean","XFM"
4673,"MEX_4673","Yucatán",124,"Central Latin America",103,"Latin America and Caribbean","admin1",124,"Central Latin America",103,"Latin America and Caribbean","XJM"
4674,"MEX_4674","Zacatecas",124,"Central Latin America",103,"Latin America and Caribbean","admin1",124,"Central Latin America",103,"Latin America and Caribbean","XHM"
