family,age,20,22.5,25,27.5,30,32.5,35,37.5,40,42.5,45,47.5,50,52.5,55,57.5,60,62.5,65,67.5,70,72.5,75,77.5,80,82.5,85,87.5,90,92.5,95,97.5,100
East,15,0.6151,0.5759,0.5384,0.5023,0.4677,0.4345,0.4024,0.3716,0.3418,0.313,0.2841,0.2563,0.2296,0.2039,0.1794,0.1558,0.1331,0.1113,0.0903,0.0704,0.053,0.0386,0.0283,0.0212,0.0163,0.0123,0.009,0.0063,0.0043,0.0029,0.0018,0.0011,0.0006
East,20,0.636,0.597,0.5594,0.5231,0.4881,0.4543,0.4216,0.3899,0.3593,0.3296,0.2999,0.2709,0.243,0.2161,0.1903,0.1654,0.1415,0.1185,0.0962,0.0751,0.0564,0.041,0.0301,0.0226,0.0173,0.0131,0.0095,0.0067,0.0046,0.003,0.0019,0.0011,0.0006
North,1,0.3195,0.2918,0.267,0.2445,0.224,0.2053,0.1879,0.1719,0.1569,0.143,0.1299,0.1177,0.1062,0.0958,0.0857,0.0759,0.0665,0.0575,0.0489,0.0408,0.033,0.0259,0.0204,0.0162,0.013,0.0102,0.0077,0.0057,0.0041,0.0028,0.0019,0.0012,0.0007
North,2,0.37,0.3396,0.312,0.2867,0.2635,0.242,0.222,0.2033,0.1858,0.1694,0.154,0.1394,0.1253,0.1124,0.0999,0.088,0.0766,0.0658,0.0554,0.0456,0.0362,0.0279,0.0218,0.0174,0.014,0.011,0.0083,0.0062,0.0044,0.003,0.002,0.0013,0.0007
North,3,0.4206,0.3874,0.357,0.3289,0.3029,0.2787,0.256,0.2348,0.2148,0.1959,0.178,0.1612,0.1445,0.129,0.1142,0.1001,0.0867,0.074,0.0619,0.0504,0.0395,0.03,0.0233,0.0186,0.015,0.0118,0.009,0.0066,0.0047,0.0033,0.0022,0.0014,0.0008
North,5,0.5217,0.483,0.447,0.4133,0.3818,0.3521,0.3241,0.2976,0.2726,0.2488,0.2262,0.2046,0.1828,0.1621,0.1427,0.1243,0.1069,0.0905,0.0749,0.0601,0.046,0.0341,0.0262,0.021,0.0171,0.0134,0.0102,0.0075,0.0054,0.0037,0.0025,0.0015,0.0009
North,10,0.5825,0.5428,0.5052,0.4695,0.4357,0.4035,0.3728,0.3435,0.3155,0.2887,0.263,0.2384,0.213,0.1888,0.1658,0.1442,0.1238,0.1044,0.086,0.0684,0.0517,0.0377,0.0289,0.0232,0.019,0.0149,0.0113,0.0084,0.006,0.0041,0.0027,0.0017,0.001
North,15,0.6103,0.5704,0.5325,0.4962,0.4616,0.4284,0.3967,0.3662,0.337,0.3089,0.2818,0.2558,0.2292,0.2033,0.1788,0.1556,0.1336,0.1128,0.0929,0.0739,0.0558,0.0406,0.0312,0.025,0.0205,0.0161,0.0122,0.009,0.0065,0.0044,0.0029,0.0018,0.0011
North,20,0.6368,0.5971,0.559,0.5224,0.4872,0.4533,0.4207,0.3893,0.359,0.3298,0.3015,0.2743,0.2465,0.2193,0.1934,0.1688,0.1453,0.1231,0.1017,0.0812,0.0617,0.0452,0.0347,0.0279,0.0228,0.0179,0.0136,0.01,0.0072,0.0049,0.0032,0.002,0.0012
South,1,0.3068,0.2842,0.2639,0.2454,0.2285,0.2128,0.1984,0.1849,0.1723,0.1607,0.1505,0.1405,0.1308,0.1214,0.1122,0.1033,0.0947,0.0863,0.077,0.0677,0.0584,0.0492,0.0403,0.0322,0.0251,0.019,0.014,0.0099,0.0067,0.0044,0.0027,0.0016,0.0008
South,2,0.3701,0.3437,0.3195,0.2972,0.2766,0.2574,0.2394,0.2226,0.2067,0.1918,0.1782,0.1652,0.1525,0.1402,0.1284,0.117,0.106,0.0952,0.084,0.0731,0.0624,0.052,0.0423,0.0338,0.0264,0.02,0.0147,0.0104,0.007,0.0046,0.0028,0.0016,0.0009
South,3,0.4335,0.4031,0.3751,0.3491,0.3247,0.3019,0.2805,0.2603,0.2411,0.2229,0.206,0.1898,0.1742,0.1591,0.1446,0.1306,0.1172,0.1041,0.091,0.0784,0.0663,0.0548,0.0444,0.0354,0.0276,0.0209,0.0154,0.0109,0.0074,0.0048,0.0029,0.0017,0.0009
South,5,0.5602,0.522,0.4863,0.4527,0.421,0.391,0.3626,0.3356,0.3099,0.2851,0.2616,0.2391,0.2176,0.1969,0.177,0.158,0.1397,0.1219,0.105,0.0892,0.0742,0.0605,0.0486,0.0385,0.0301,0.0229,0.0168,0.0119,0.0081,0.0052,0.0032,0.0019,0.001
South,10,0.5995,0.5608,0.524,0.4891,0.4558,0.4241,0.3938,0.3648,0.3369,0.3096,0.2836,0.2588,0.2349,0.2119,0.1899,0.1686,0.1482,0.1285,0.1102,0.0931,0.077,0.0624,0.05,0.0396,0.031,0.0235,0.0173,0.0122,0.0083,0.0054,0.0033,0.0019,0.001
South,15,0.6188,0.5799,0.5429,0.5075,0.4737,0.4412,0.4101,0.3802,0.3514,0.3231,0.296,0.2699,0.2449,0.2208,0.1976,0.1753,0.1538,0.1329,0.1137,0.0958,0.079,0.0639,0.0511,0.0405,0.0317,0.024,0.0176,0.0125,0.0085,0.0055,0.0034,0.002,0.0011
South,20,0.6438,0.6051,0.5678,0.532,0.4975,0.4642,0.4321,0.4011,0.3711,0.3418,0.3132,0.2856,0.259,0.2334,0.2087,0.1849,0.1619,0.1396,0.1189,0.0998,0.082,0.066,0.0527,0.0418,0.0327,0.0248,0.0182,0.0129,0.0087,0.0057,0.0035,0.002,0.0011
